question,answer
"What is the name of the AI that declared its intention to run for mayor of Sunnyside City on September 15, 2023?",AIDA
Which cheese is suggested to try first for grilling on a salt block in the document?,Camembert.
What was the registration fee for the 'Step Up for Health' event?,$10.
"As of November 22, 2023, what percentage of security breaches involved human error according to a joint study?",65%
"By what percentage did role-specific training increase the effectiveness of cybersecurity measures, according to a study concluded on October 10, 2023?",35%
Which sport does Coach Maria Gonzalez predominantly work with in the context of holistic athletic development?,Soccer.
What percentage increase in revenue did Zephyr Goods experience after implementing their e-commerce strategy?,150%
What percentage did phishing attacks increase by in the final quarter of 2023?,43%.
"What percentage increase in utility service interruptions was reported over the last decade according to the Interstate Energy Commission report of September 15, 2023?",27%
What initiative did Rachel Granger describe as a community-centered initiative for responsible chemical waste disposal?,ChemCycle.
What has been the percentage increase in crime rates since September 2023?,25%.
By what percentage did the Bureau of Labor and Statistics report an increase in freelance and independent contractor work?,35%.
Which city will host the Hearthstone Masters Tour in 2024?,Paris.
"According to the article, how much did ‘PixelDreams’ increase their revenue through rigorous analysis of social media activity?`",30%`
Which intramural sport is touted as a throwback to simpler times at Dalton State?,Kickball.
What is the name of the app introduced to gamify the cleanup activities?,EcoQuest.
What is the name of the proprietary algorithm developed by LocalQuick in collaboration with TecSolutions?,QuickRoute.
Is the ancient practice of ritualistic dance and song in storytelling ceremonies viewed as relevant in the present day despite technological advancements?,Yes.
Which fashion retailer launched the 'Circular Collection' to accompany their digital sustainability campaign?,ASOS.
What percentage of SMEs had transitioned to cloud computing by December 2023?,78%
What was the reported increase in the adoption rate of collaborative tools by SMEs since the previous year?,35%.
What percentage of SMEs reported experiencing at least one cyber attack in the past year according to the survey by CyberGuard Inc.?,43%
Which country is using blockchain technology to secure public sector communication and incident response?,Estonia.
Which social enterprise focuses on urban farming to provide employment for refugees and benefited from Spanish government policies?,GreenGrow.
"What unique strategy did Sofia Martin, the founder of LinguaGo, use to both fund her app and build a user base?",Crowdfunding.
What percentage of account compromise attacks does Sam know can be effectively blocked by MFA protocols?,99%.
What was the name of the software project created by 15-year-old coder Michael Thompson that aims to fight against climate change?,‘EcoMonitor’.
Which private bike-sharing company won the contract to operate in partnership with Metropolis City's transit system?,Cyclique.
Who is responsible for tending to the ancestral rose bushes at Harrowgate Mansion?,Gardeners.
What country recently introduced mandatory cybersecurity education in its schools?,Sweden.
By what percentage has the 'properly' collected and recycled e-waste been estimated by Dr. Alice Franks?,20%.
How much did Peter Samuelson raise for 'Books for All' through a crowdfunding campaign?,"$200,000.00"
What percentage of cybersecurity breaches are due to human error as revealed in the BlueSky Analytics report?,95%
What is the name of the crowdfunding platform launched by Ethan Kwame?,SeedSocial.
What percentage of small enterprises consider social media a significant channel for customer engagement as found in a study by the Local Business Association?,78%
What was the name of the 2024 Sundance Film Festival successful movie directed by Xavier Richardson?,Camouflage'.
By what year does the World Health Organization expect the global population of seniors to more than double?,2050
Which gamified approach is highlighted by game designer Alexei Morozov for fostering deeper comprehension?,Customization.
What season offers a rich bounty of nuts and fungi according to the document?,Autumn.
"Which country has integrated vaccinations into annual health check-ups for teenagers, leading to a compliance rate of 91% as of January 2025?",Norway.
How much did cyberattacks on schools and universities increase according to the BlueSky Analytics report?,60%
Which month at the Local Farmers Market includes a workshop and demonstration related to pumpkins?,October
"What percentage of data breaches involve a human element, according to the September 2025 ShieldGate report?",85%.
How much can a single cybersecurity breach potentially cost an educational institution on average?,"$200,000"
"As of September 2023, what percentage of the workforce is operating remotely at least five days each month?",70%
What was the percentage increase in cybersecurity breaches in educational institutions in 2022 compared to the previous year?,27%
"As reported on December 12, 2023, by 'The SME Tech Monitor', what percentage of small businesses cited reduced operational costs as an immediate benefit of introducing AI?",45%
How much has the grocery delivery service 'Market Fresh' increased its repeat customers within three months of launching its mobile application?,40%
